molregno,canonical_smiles
1279,CC(C)NCC(O)COc1ccc(CC(N)=O)cc1
1280,CC(=O)Oc1ccccc1C(=O)O
1712,COc1c(N2CCNC(C)C2)c(F)cc2c(=O)c(C(=O)O)cn(C3CC3)c12
1853,CO/N=C1\CN(c2nc3c(cc2F)c(=O)c(C(=O)O)cn3C2CC2)CC1CN
1994,CC(C)NCC(O)c1ccc(O)c(O)c1
2045,NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O
2046,NS(=O)(=O)c1cc(C(=O)O)c(NCc2ccco2)cc1Cl
2216,C=CCC1(C(C)C#CCC)C(=O)NC(=O)N(C)C1=O
2217,CCC1(c2ccccc2)C(=O)NC(=O)NC1=O
2223,CNCCC(Oc1ccc(C(F)(F)F)cc1)c1ccccc1
2247,Cc1cc(NS(=O)(=O)c2ccc(N)cc2)no1
2256,CCC1(CC)C(=O)NC(=O)NC1=O
2261,CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1
2262,CNCCC=C1c2ccccc2CCc2ccccc21
2265,Cc1cc(C)nc(NS(=O)(=O)c2ccc(N)cc2)n1
2516,COc1ccc(NS(=O)(=O)c2ccc(N)cc2)nn1
2524,C=CCC1(CC(C)C)C(=O)NC(=O)NC1=O
2525,CC(=O)NS(=O)(=O)c1ccc(N)cc1
2580,COc1cc(NS(C)(=O)=O)ccc1Nc1c2ccccc2nc2ccccc12
2819,O=C(O)COc1ccc(C(=O)c2cccs2)c(Cl)c1Cl
3183,Cc1nccn1CC1CCc2c(c3ccccc3n2C)C1=O
3730,C[C@](N)(Cc1ccc(O)c(O)c1)C(=O)O
3799,CCc1c(C)[nH]c2c1C(=O)C(CN1CCOCC1)CC2
4193,CCOC(=O)/C=C(C)/C=C/C=C(C)/C=C/c1c(C)cc(OC)c(C)c1C
4345,Cc1ccnc2c1NC(=O)c1cccnc1N2C1CC1
4496,CCCCCc1cc(O)c2c(c1)OC(C)(C)[C@@H]1CCC(C)=C[C@@H]21
4504,O=C1c2c(O)ccc(O)c2C(=O)c2c(NCCNCCO)ccc(NCCNCCO)c21
4941,NNC(=O)c1ccncc1
5528,CC(C)NCC(O)c1ccc(NS(C)(=O)=O)cc1
5582,COc1ccc(Cl)cc1C(=O)NCCc1ccc(S(=O)(=O)NC(=O)NC2CCCCC2)cc1
6167,COc1ccc2c3c1O[C@H]1[C@@H](O)C=C[C@H]4[C@@H](C2)N(C)CC[C@@]341
6216,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21
6317,CCC1(c2ccc(N)cc2)CCC(=O)NC1=O
6643,Fc1ccc([C@@H]2CCNC[C@H]2COc2ccc3c(c2)OCO3)cc1
6706,Cc1ccc(-c2ncc(Cl)cc2-c2ccc(S(C)(=O)=O)cc2)cn1
6968,CC/C(=C(\c1ccccc1)c1ccc(OCCN(C)C)cc1)c1ccccc1
7494,CC#CCC(C)[C@H](O)/C=C/[C@@H]1[C@H]2C/C(=C/CCCC(=O)O)C[C@H]2C[C@H]1O
7725,O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1
7736,CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC
8417,O=P1(N(CCCl)CCCl)NCCCO1
8543,CC(C)NCC(O)COc1cccc2[nH]ccc12
8838,CC(N)Cc1ccccc1.O=S(=O)(O)O
